"id","name_en","name_te","testament","book_order"
"1","Genesis","ఆదికాండము","Old","1"
"2","Exodus","నిర్గమకాండము","Old","2"
"3","Leviticus","లేవీయకాండము","Old","3"
"4","Numbers","సంఖ్యాకాండము","Old","4"
"5","Deuteronomy","ద్వితీయోపదేశకాండమ","Old","5"
"6","Joshua","యెహొషువ","Old","6"
"7","Judges","న్యాయాధిపతులు","Old","7"
"8","Ruth","రూతు","Old","8"
"9","1 Samuel","సమూయేలు మొదటి గ్రంథము","Old","9"
"10","2 Samuel","సమూయేలు రెండవ గ్రంథము","Old","10"
"11","1 Kings","రాజులు మొదటి గ్రంథము","Old","11"
"12","2 Kings","రాజులు రెండవ గ్రంథము","Old","12"
"13","1 Chronicles","దినవృత్తాంతములు మొదటి గ్రంథము","Old","13"
"14","2 Chronicles","దినవృత్తాంతములు రెండవ గ్రంథము","Old","14"
"15","Ezra","ఎజ్రా Ezra","Old","15"
"16","Nehemiah","నెహెమ్యా","Old","16"
"17","Esther","ఎస్తేరు","Old","17"
"18","Job","యోబు గ్రంథము","Old","18"
"19","Psalms","కీర్తనల గ్రంథము","Old","19"
"20","Proverbs","సామెతలు","Old","20"
"21","Ecclesiastes","ప్రసంగి","Old","21"
"22","Song of Solomon","పరమగీతము","Old","22"
"23","Isaiah","యెషయా గ్రంథము","Old","23"
"24","Jeremiah","యిర్మీయా","Old","24"
"25","Lamentations","విలాపవాక్యములు","Old","25"
"26","Ezekiel","యెహెజ్కేలు","Old","26"
"27","Daniel","దానియేలు","Old","27"
"28","Hosea","హొషేయ","Old","28"
"29","Joel","యోవేలు","Old","29"
"30","Amos","ఆమోసు","Old","30"
"31","Obadiah","ఓబద్యా","Old","31"
"32","Jonah","యోనా","Old","32"
"33","Micah","మీకా","Old","33"
"34","Nahum","నహూము","Old","34"
"35","Habakkuk","హబక్కూకు","Old","35"
"36","Zephaniah","జెఫన్యా","Old","36"
"37","Haggai","హగ్గయి","Old","37"
"38","Zechariah","జెకర్యా","Old","38"
"39","Malachi","మలాకీ","Old","39"
"40","Matthew","మత్తయి సువార్త","New","40"
"41","Mark","మార్కు సువార్త /","New","41"
"42","Luke","లూకా సువార్త","New","42"
"43","John","యోహాను సువార్త","New","43"
"44","Acts","అపొస్తలుల కార్యములు","New","44"
"45","Romans","రోమీయులకు","New","45"
"46","1 Corinthians","1 కొరింథీయులకు","New","46"
"47","2 Corinthians","2 కొరింథీయులకు","New","47"
"48","Galatians","గలతీయులకు","New","48"
"49","Ephesians","ఎఫెసీయులకు","New","49"
"50","Philippians","ఫిలిప్పీయులకు","New","50"
"51","Colossians","కొలొస్సయులకు","New","51"
"52","1 Thessalonians","1 థెస్సలొనీకయులకు","New","52"
"53","2 Thessalonians","2 థెస్సలొనీకయులకు","New","53"
"54","1 Timothy","1 తిమోతికి","New","54"
"55","2 Timothy","2 తిమోతికి","New","55"
"56","Titus","తీతుకు","New","56"
"57","Philemon","ఫిలేమోనుకు","New","57"
"58","Hebrews","హెబ్రీయులకు","New","58"
"59","James","యాకోబు","New","59"
"60","1 Peter","1 పేతురు","New","60"
"61","2 Peter","2 పేతురు","New","61"
"62","1 John","1 యోహాను","New","62"
"63","2 John","2 యోహాను","New","63"
"64","3 John","3 యోహాను","New","64"
"65","Jude","యూదా","New","65"
"66","Revelation","ప్రకటన గ్రంథము","New","66"
